YEAR;WUE;ID;Psummer;Tsummer;BAI
1934;74.10385188;2;61.73333359;47.76666737;685.1525896
1935;74.11351655;2;69.70000203;54.23333454;512.6411181
1936;68.92771235;2;46.7000014;26.79999987;390.4105487
1937;66.48675475;2;57.43333403;22.16666698;544.2734228
1938;75.69214645;2;32.06666756;25.90000025;471.7364636
1939;73.91289571;2;64.46666972;41.6333348;662.6314494
1940;71.93504038;2;68.63333511;44.03333378;767.2917197
1941;72.75908144;2;79.50000254;57.96666781;646.6311451
1942;67.51098966;2;69.96666718;54.33333333;641.2857054
1943;76.49646528;2;42.89999962;39.53333346;555.8251148
1944;83.84466299;2;57.4000028;47.93333562;505.7309896
1945;73.80990349;2;69.73333486;62.06666819;116.3265091
1946;76.84137116;2;39.43333467;30.70000108;338.1142699
1947;67.71166721;2;46.63333448;32.00000127;140.8036233
1948;68.67115153;2;43.60000038;41.36666711;440.2117357
1949;73.24258189;2;38.76666705;29.70000076;552.0721124
1950;71.97701345;2;50.16666667;33.16666667;609.3825833
1951;69.1977331;2;68.73333486;46.36666775;848.1218397
1952;65.06540637;2;79.13333511;65.7000014;914.9083108
1953;64.04717861;2;56.43333371;19.46666718;1080.090188
1954;67.96831278;2;65.66666857;50.16666826;888.4588259
1955;67.47182939;2;55.3333346;38.43333371;1094.234796
1956;68.72972689;2;49.43333499;43.70000172;901.5300354
1957;66.6970529;2;49.19999949;18.66666667;853.4413566
1958;69.56515333;2;60.26666959;40.23333486;894.8205465
1959;75.54399407;2;77.86666743;55.96666749;826.9267862
1960;71.17933688;2;49.26666768;37.76666768;784.8759823
1961;66.48188584;2;48.93333371;34.13333321;770.0850029
1962;77.14088124;2;18.10000038;15.5;605.8286381
1963;72.00905637;2;72.63333511;47.13333352;331.8128749
1964;68.54099641;2;34.73333422;26.33333365;1036.973803
1965;73.51311917;2;36.23333422;32.90000057;864.651319
1966;74.4119678;2;46.83333333;20.46666718;1071.122543
1967;70.50058092;2;43.60000102;35.46666686;967.5023858
1968;78.72123647;2;41.80000114;38.93333435;582.206984
